#Query ID	#Subject	#Subject accession	#Subject Taxonomy ID	#Identity percentage	#Coverage	#evalue	#bitscore
Otu1	Asellus aquaticus isolate WR2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	DQ144832	92525	99.355	100	2.74e-156	562
Otu1	Asellus aquaticus isolate WR1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	DQ144831	92525	99.355	100	2.74e-156	562
Otu1	Asellus aquaticus isolate DRccR cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	DQ144889	92525	99.032	100	1.28e-154	556
Otu1	Asellus aquaticus isolate OSP1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	DQ144771	92525	99.032	100	1.28e-154	556
Otu1	Asellus aquaticus isolate OSP4 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	DQ144770	92525	99.032	100	1.28e-154	556
Otu1	Asellus aquaticus isolate DR14 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	DQ144766	92525	99.032	100	1.28e-154	556
Otu1	Asellus aquaticus isolate OSP2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	DQ144769	92525	98.710	100	5.94e-153	551
Otu1	Asellus aquaticus isolate DR5 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	DQ144768	92525	98.710	100	5.94e-153	551
Otu1	Asellus aquaticus isolate DR13 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	DQ144761	92525	98.710	100	5.94e-153	551
Otu1	Asellus aquaticus isolate VA13 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	DQ144849	92525	98.387	100	2.76e-151	545
Otu2	Ischnura saharensis isolate 7003 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	MH450003	1273139	100.000	100	1.27e-159	573
Otu2	Ischnura elegans isolate 6694 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	MH449993	197161	100.000	100	1.27e-159	573
Otu2	Ischnura elegans isolate 6727 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	MH449982	197161	100.000	100	1.27e-159	573
Otu2	Ischnura elegans isolate T_P60 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	MF458738	197161	100.000	100	1.27e-159	573
Otu2	Ischnura elegans mitochondrion, complete genome	KU958378	197161	100.000	100	1.27e-159	573
Otu2	Ischnura elegans voucher RMNH.INS.228277 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KF369415	197161	100.000	100	1.27e-159	573
Otu2	Ischnura elegans voucher BC ZSM AQU 00399 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	HQ563104	197161	100.000	100	1.27e-159	573
Otu2	Ischnura elegans voucher BC ZSM AQU 00172 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	HM376192	197161	100.000	100	1.27e-159	573
Otu2	Ischnura elegans isolate ADR5 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KX399383	197161	100.000	99	4.56e-159	571
Otu2	Ischnura elegans isolate 9 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KY127440	197161	99.032	100	1.28e-154	556
Otu3	Gammarus tigrinus voucher USNM:IZ:1286919 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KU905737	360729	100.000	100	1.27e-159	573
Otu3	Gammarus tigrinus voucher FC-TIG85 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	GQ341860	360729	100.000	100	1.27e-159	573
Otu3	Gammarus tigrinus voucher FC-TIG88 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	GQ341858	360729	100.000	100	1.27e-159	573
Otu3	Gammarus tigrinus voucher 609 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	EF570348	360729	100.000	100	1.27e-159	573
